#           k/h    P           
   0.185093E+01   0.162147E+02
   0.199466E+01   0.135303E+02
   0.214954E+01   0.112803E+02
   0.231645E+01   0.939644E+01
   0.249633E+01   0.782072E+01
   0.269017E+01   0.650405E+01
   0.289906E+01   0.540484E+01
   0.312417E+01   0.448804E+01
   0.336676E+01   0.372403E+01
   0.362819E+01   0.308790E+01
   0.390992E+01   0.255868E+01
   0.421353E+01   0.211875E+01
   0.454071E+01   0.175333E+01
   0.489329E+01   0.145003E+01
   0.527326E+01   0.119846E+01
   0.568273E+01   0.989956E+00
   0.612399E+01   0.817256E+00
   0.659952E+01   0.674309E+00
   0.711197E+01   0.556062E+00
   0.766422E+01   0.458309E+00
   0.825935E+01   0.377548E+00
   0.890068E+01   0.310862E+00
   0.959182E+01   0.255831E+00
   0.103366E+02   0.210442E+00
   0.111393E+02   0.173025E+00
   0.120042E+02   0.142198E+00
   0.129364E+02   0.116812E+00
   0.139409E+02   0.959166E-01
   0.150234E+02   0.787261E-01
   0.161899E+02   0.645903E-01
   0.174471E+02   0.529715E-01
   0.188019E+02   0.434259E-01
   0.202618E+02   0.355867E-01
   0.218352E+02   0.291518E-01
   0.235307E+02   0.238717E-01
   0.253578E+02   0.195409E-01
   0.273269E+02   0.159902E-01
   0.294488E+02   0.130801E-01
   0.317355E+02   0.106959E-01
   0.341998E+02   0.874333E-02
   0.368554E+02   0.714481E-02
   0.397172E+02   0.583660E-02
   0.428012E+02   0.476633E-02
   0.461247E+02   0.389103E-02
   0.497063E+02   0.317542E-02
   0.535660E+02   0.259055E-02
   0.577254E+02   0.211270E-02
   0.622078E+02   0.172239E-02
   0.670383E+02   0.140371E-02
   0.722438E+02   0.114358E-02
   0.778535E+02   0.931309E-03
   0.838988E+02   0.758150E-03
   0.904136E+02   0.616940E-03
   0.974342E+02   0.501820E-03
   0.105000E+03   0.408000E-03
