  k [h/Mpc]      delta b
 0.173572    0.000693919
 0.173763    0.000693252
 0.173954    0.000692583
 0.174145    0.000691912
 0.174336    0.000691239
 0.174528    0.000690565
 0.174719    0.000689888
 0.17491     0.00068921
 0.175101    0.00068853
 0.175292    0.000687849
 0.175483    0.000687166
 0.175675    0.000686482
 0.175866    0.000685797
 0.176057    0.000685111
 0.176248    0.000684423
 0.176439    0.000683734
 0.176631    0.000683045
 0.176822    0.000682354
 0.177013    0.000681663
 0.177204    0.00068097
 0.177395    0.000680278
 0.177587    0.000679584
 0.177778    0.00067889
 0.177969    0.000678196
 0.17816     0.000677501
 0.178351    0.000676806
 0.178543    0.000676111
 0.178734    0.000675416
 0.178925    0.00067472
 0.179116    0.000674025
 0.179307    0.000673329
 0.179498    0.000672634
 0.17969     0.000671939
 0.179881    0.000671244
 0.180072    0.00067055
 0.180263    0.000669856
 0.180454    0.000669163
 0.180646    0.00066847
 0.180837    0.000667778
 0.181028    0.000667087
 0.181219    0.000666397
 0.18141     0.000665708
 0.181602    0.00066502
 0.181793    0.000664334
 0.181984    0.000663648
 0.182175    0.000662964
 0.182366    0.000662282
 0.182558    0.0006616
 0.182749    0.000660921
 0.18294     0.000660243
 0.183131    0.000659567
 0.183322    0.000658893
 0.183514    0.00065822
 0.183705    0.00065755
 0.183896    0.000656882
 0.184087    0.000656216
 0.184278    0.000655552
 0.184469    0.000654891
 0.184661    0.000654231
 0.184852    0.000653575
 0.185043    0.000652921
 0.185234    0.000652269
 0.185425    0.00065162
 0.185617    0.000650974
 0.185808    0.000650331
 0.185999    0.00064969
 0.18619     0.000649053
 0.186381    0.000648418
 0.186573    0.000647786
 0.186764    0.000647158
 0.186955    0.000646532
 0.187146    0.00064591
 0.187337    0.000645291
 0.187529    0.000644675
 0.18772     0.000644063
 0.187911    0.000643454
 0.188102    0.000642848
 0.188293    0.000642246
 0.188484    0.000641647
 0.188676    0.000641052
 0.188867    0.00064046
 0.189058    0.000639873
 0.189249    0.000639288
 0.18944     0.000638708
 0.189632    0.000638132
 0.189823    0.000637559
 0.190014    0.00063699
 0.190205    0.000636426
 0.190396    0.000635865
 0.190588    0.000635308
 0.190779    0.000634756
 0.19097     0.000634208
 0.191161    0.000633664
 0.191352    0.000633124
 0.191544    0.000632588
 0.191735    0.000632057
 0.191926    0.00063153
 0.192117    0.000631008
 0.192308    0.00063049
 0.192499    0.000629976
 0.192691    0.000629466
 0.192882    0.000628961
 0.193073    0.00062846
 0.193264    0.000627964
 0.193455    0.000627472
 0.193647    0.000626984
 0.193838    0.0006265
 0.194029    0.000626021
 0.19422     0.000625546
 0.194411    0.000625076
 0.194603    0.00062461
 0.194794    0.000624148
 0.194985    0.000623691
 0.195176    0.000623238
 0.195367    0.000622789
 0.195559    0.000622345
 0.19575     0.000621905
 0.195941    0.00062147
 0.196132    0.000621039
 0.196323    0.000620612
 0.196515    0.00062019
 0.196706    0.000619773
 0.196897    0.000619359
 0.197088    0.00061895
 0.197279    0.000618546
 0.19747     0.000618146
 0.197662    0.000617751
 0.197853    0.00061736
 0.198044    0.000616973
 0.198235    0.000616591
 0.198426    0.000616213
 0.198618    0.000615839
 0.198809    0.00061547
 0.199       0.000615105
