  k [h/Mpc]    covariance [h/Mpc]^5
 0.188994               2.53341
 0.18919                2.54208
 0.189386               2.55075
 0.189583               2.55942
 0.189779               2.56809
 0.189975               2.57676
 0.190171               2.58708
 0.190367               2.5985
 0.190564               2.60991
 0.19076                2.62133
 0.190956               2.63275
 0.191152               2.64417
 0.191348               2.65558
 0.191545               2.667
 0.191741               2.67842
 0.191937               2.68984
 0.192133               2.70125
 0.192329               2.71267
 0.192526               2.72409
 0.192722               2.73551
 0.192918               2.74693
 0.193114               2.75834
 0.19331                2.76976
 0.193507               2.78118
 0.193703               2.7926
 0.193899               2.80401
 0.194095               2.81543
 0.194291               2.82685
 0.194487               2.83827
 0.194684               2.84969
 0.19488                2.8611
 0.195076               2.87252
 0.195272               2.88394
 0.195468               2.89536
 0.195665               2.90677
 0.195861               2.91819
 0.196057               2.92961
 0.196253               2.94103
 0.196449               2.95244
 0.196646               2.96386
 0.196842               2.97528
 0.197038               2.9867
 0.197234               2.99812
 0.19743                3.00953
 0.197627               3.02095
 0.197823               3.03237
 0.198019               3.04379
 0.198215               3.0552
 0.198411               3.06662
 0.198608               3.07804
 0.198804               3.08946
 0.199                  3.10087
