  k [h/Mpc]    inverse covariance [h/Mpc]^5
 0.158191                       1.24984
 0.158387                       1.25757
 0.158584                       1.26531
 0.15878                        1.27304
 0.158976                       1.28077
 0.159172                       1.28862
 0.159368                       1.29667
 0.159565                       1.30471
 0.159761                       1.31276
 0.159957                       1.32081
 0.160153                       1.32886
 0.160349                       1.33691
 0.160546                       1.34496
 0.160742                       1.353
 0.160938                       1.36105
 0.161134                       1.3691
 0.16133                        1.37715
 0.161527                       1.3852
 0.161723                       1.39324
 0.161919                       1.40129
 0.162115                       1.40934
 0.162311                       1.41739
 0.162508                       1.42544
 0.162704                       1.43348
 0.1629                         1.44153
 0.163096                       1.44958
 0.163292                       1.45767
 0.163488                       1.46579
 0.163685                       1.47391
 0.163881                       1.48204
 0.164077                       1.49016
 0.164273                       1.49829
 0.164469                       1.50641
 0.164666                       1.51454
 0.164862                       1.52266
 0.165058                       1.53078
 0.165254                       1.53891
 0.16545                        1.54703
 0.165647                       1.55516
 0.165843                       1.56328
 0.166039                       1.57141
 0.166235                       1.57953
 0.166431                       1.58765
 0.166628                       1.59578
 0.166824                       1.6039
 0.16702                        1.61203
 0.167216                       1.62015
 0.167412                       1.62827
 0.167609                       1.63629
 0.167805                       1.64431
 0.168001                       1.65233
 0.168197                       1.66035
 0.168393                       1.66837
 0.16859                        1.67639
 0.168786                       1.68441
 0.168982                       1.69243
 0.169178                       1.70045
 0.169374                       1.70847
 0.169571                       1.71649
 0.169767                       1.72451
 0.169963                       1.73253
 0.170159                       1.74055
 0.170355                       1.74857
 0.170552                       1.75659
 0.170748                       1.76461
 0.170944                       1.77263
 0.17114                        1.78065
 0.171336                       1.78867
 0.171533                       1.7967
 0.171729                       1.8047
 0.171925                       1.81261
 0.172121                       1.82051
 0.172317                       1.82841
 0.172514                       1.83632
 0.17271                        1.84422
 0.172906                       1.85212
 0.173102                       1.86002
 0.173298                       1.86793
 0.173494                       1.87583
 0.173691                       1.88373
 0.173887                       1.89164
 0.174083                       1.89954
 0.174279                       1.90744
 0.174475                       1.91535
 0.174672                       1.92325
 0.174868                       1.93115
 0.175064                       1.93906
 0.17526                        1.94696
 0.175456                       1.95486
 0.175653                       1.96277
 0.175849                       1.97067
 0.176045                       1.97857
 0.176241                       1.98649
 0.176437                       1.99441
 0.176634                       2.00234
 0.17683                        2.01026
 0.177026                       2.01819
 0.177222                       2.02611
 0.177418                       2.03404
 0.177615                       2.04196
 0.177811                       2.04989
 0.178007                       2.05781
 0.178203                       2.06573
 0.178399                       2.07366
 0.178596                       2.08158
 0.178792                       2.08951
 0.178988                       2.09743
 0.179184                       2.10536
 0.17938                        2.11328
 0.179577                       2.12121
 0.179773                       2.12913
 0.179969                       2.13706
 0.180165                       2.14498
 0.180361                       2.15291
 0.180558                       2.16083
 0.180754                       2.16891
 0.18095                        2.17717
 0.181146                       2.18543
 0.181342                       2.19369
 0.181539                       2.20195
 0.181735                       2.21021
 0.181931                       2.21847
 0.182127                       2.22673
 0.182323                       2.23499
 0.18252                        2.24325
 0.182716                       2.25152
 0.182912                       2.25978
 0.183108                       2.26804
 0.183304                       2.2763
 0.183501                       2.28456
 0.183697                       2.29282
 0.183893                       2.30108
 0.184089                       2.30934
 0.184285                       2.3176
